tweets,classes
"A #Xiaomi mostrou a interface de seu novo smartwatch e como ele irá funcionar

https://t.co/fKQgfTcMTJ",neutro
"Ao que tudo indica, muito em breve, o #RedmiNote8Pro, da #Xiaomi, vai estar oficialmente nas mãos dos consumidores… https://t.co/OUryUklbDQ",neutro
"Eu fico puto com o xiaomi pq nao da pra por um nome foda e super grande no contato pq o celular simplesmente nao deixa
Toxico",negativo
"@LopoFernando @jotaplays Que tema é esse do xiaomi amigo?",neutro
"O que é xiaomi?",neutro
"@teucontatinho eu acho que é da xiaomi!",neutro
"Voltei a ser testemunha de xiaomi, não é oq eu quero mas dá pra quebrar o galho até janeiro",negativo
"@balu_is_hot Eu durmo bastante e sou testemunha de Xiaomi também...",positivo
"Essa Xiaomi tá igual brasileiro, deixa tudo pra última hora... Cadê a MIUI 11 pro Note 7? Será que só vai sair aman… https://t.co/waHxMGSMQs",negativo
"Descobri q o celular da xiaomi tem modo noturno, gostei",positivo
"Eu só queria um xiaomi na minha vida.",positivo
"Socorro que meu xiaomi tá doido alguém me ajuda",negativo
"Se vcs não tem coragem pra falar, eu tenho: XIAOMI É RUIM SIM!",negativo
"Xiaomi deve lançar Redmi Note 8 Pro no Brasil https://t.co/npEgCukkyG",neutro
"Amanhã eu vou precisar de um carregador Xiaomi na UFU Umuarama. Ajuda eeeuuu meu povo",neutro
"@LuisRossetin MANO VC JA OUVIU FALA NOS PRODUTOS XIAOMI?",neutro
"Só queria comprar esse Xiaomi Redmi Note 8 que ta o mesmo preço do 7.. mas INFELIZMENTE minha mãe ainda ta pagando… https://t.co/wMOYDmdApx",neutro
"Fogo no parquinho até no grupo da Xiaomi https://t.co/CMXp4XUGIc",neutro
"Eleitor de Bolsonaro é chato sim mas vcs já viram os usuários do Xiaomi?",negativo
"@GabriellenCarmo Você precisa conhecer o Smartwatch Amazing GTR 42mm Swarovski da Xiaomi.... Aí sim vc vai estar co… https://t.co/yfYjdg05Rl",neutro
"Xiaomi Mi Note 10 chegando em 5 de novembro com cinco câmeras https://t.co/CGCjczyNuo",neutro
"Mas também com um xiaomi eu me torno uma Gisele Buchmann",positivo
"Obrigada xiaomi por ser o melhor celular da vida",positivo
"RT @jsantorox: @Douglas65127353 O do xiaomi é horrível",negativo
"@gcfintense @heytominie Calma aí kkkkkkk isso é meme pô, já usei o xiaomi da minha prima e é muito bom mesmo, kkkkkkkk",positivo
"Xiaomi é melhor que Apple https://t.co/xgJllpa14K",positivo
"Tava vendo uns modelos de xiaomi e visualmente ele é mt bonito temos q admitir",positivo
"@HirisSilva19 Xiaomi é boa por ser barato kkkkk",positivo
"Foto no xiaomi é outro nível https://t.co/F2zsk7UUeD",positivo
"fodase xiaomi",negativo
"Bicho, a câmera desse Xiaomi é insana de tão boa, puta merda",positivo
"Xiaomi eu te amo mas esse teu mi cloud me estressa",negativo
"como que eu silencio a palavra xiaomi da minha vida",negativo
"Tava vendo uns modelos de xiaomi e visualmente ele é mt bonito temos q admitir",positivo
"Xiaomi prepara-se para lançamento do Mi Note 10 
https://t.co/4zrWbhyTpJ https://t.co/XVCiRDJlyP",neutro
"NÃO COMPRE XIAOMI MI 9T https://t.co/hPUtnzonmw via @YouTube",negativo
"tô amando meu xiaomi 🥰 demorou, mas chegou kk",positivo
